Age,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,ratio_years_company,BadLiveLevel,ratio_mincome_x_level
38,7,3,4,0,4,3,7.8674885686991285,1,0,11,3,4,3,2,3,4,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0.9965789718505114
36,1,2,2,0,3,4,8.732627099660395,1,1,14,3,4,1,1,2,18,4,11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.05555555555555555,0,1.0177609681805917
42,12,3,2,0,3,2,7.925518979786926,8,0,22,4,2,3,6,2,5,0,4,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.1428571428571428,0,1.0039297149641428
40,9,2,1,0,3,1,8.607764889600624,0,0,12,3,4,0,5,4,8,7,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,1.003208659654267
38,2,4,1,1,4,1,8.696343057044556,6,1,12,3,4,0,2,3,15,4,12,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.35294117647058826,0,1.013532174036429
42,7,4,2,1,4,2,7.771910256435763,6,1,16,3,4,0,2,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0,0.9057923597253277
28,17,2,3,0,3,1,8.424858580213442,1,0,12,3,4,1,2,3,10,1,8,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.981891488955947
29,7,1,1,1,2,4,7.837159650001675,6,0,14,3,3,3,5,3,4,0,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.75,0,0.9927371915480784
52,6,2,4,0,3,1,8.626585568187433,3,1,12,3,2,2,3,3,10,6,9,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.16666666666666666,0,1.0054021521556327
47,14,3,3,1,3,3,8.432070937999402,3,1,17,3,3,1,4,2,5,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.2727272727272727,0,0.9827320671873694
46,26,2,2,0,2,2,8.98619632032839,8,0,15,3,3,0,3,3,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.3333333333333333,0,1.0473136849727576
45,7,3,1,1,3,3,8.4069317971587,4,1,19,3,3,1,2,2,3,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.5714285714285714,0,1.06491053322434
34,22,4,3,0,2,4,8.656607247198915,1,1,15,3,2,0,3,3,15,6,11,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.0625,0,1.0089010869834258
34,1,4,2,0,4,4,9.182557990963732,0,0,11,3,4,1,2,2,15,0,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,1.07019903685354
59,2,4,3,1,2,4,9.844002905701236,9,0,21,4,4,1,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.3,0,0.9983062372451266
42,4,2,3,0,3,4,9.864382832655368,1,0,11,3,4,0,3,3,22,11,15,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.045454545454545456,0,1.0003730192633569
32,3,2,3,1,3,4,9.320091235935301,3,0,15,3,4,0,6,3,7,7,7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3,0,1.0163970648196665
48,2,1,2,0,4,2,9.002208578282412,3,0,12,3,4,0,3,3,2,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.25,0,1.0491798646426391
35,1,3,2,0,3,3,8.45914025996762,9,0,11,3,3,0,2,3,11,6,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6,0,0.9858869138354573
56,1,4,3,0,3,3,8.749415406663651,1,0,21,4,1,1,2,2,13,1,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,1.0197175939925895
38,2,2,4,0,3,2,8.902727664035522,7,0,16,3,3,0,2,3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.7,0,0.9708817261064596
56,4,4,4,1,3,1,9.900683625203394,4,0,13,3,4,1,2,3,5,4,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.14285714285714285,0,1.0040543781541234
29,2,3,3,0,3,2,7.902487437162855,0,0,23,4,4,1,3,3,5,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,1.0010122971798012
45,24,4,2,0,3,2,7.686162303492906,1,0,16,3,1,0,3,3,6,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.16666666666666666,0,0.9736102771557837
26,24,3,3,0,1,4,7.75833346749091,1,1,18,3,2,0,3,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.0,1,0.9827522369802361
